artifact_id,phase,run_id,filename,artifact_type,storage_location,sha256,bytes,immutable,contains_private_data,paper_usage
AR-0031,1.2C,20260725T121557Z-track-d-parser-v3-locked-set,04_decision.json,decision,repo:artifacts/phase1-evaluator-validation/track-d/20260725T121557Z-track-d-parser-v3-locked-set,1cb1a570b2c03f2fc5a089245d1c209b5c75b777a2a0b922cb118696cfd51f8b,5135,no,no,primary_result
AR-0032,1.2C,20260725T121557Z-track-d-parser-v3-locked-set,06_paper_table.csv,metrics,repo:artifacts/phase1-evaluator-validation/track-d/20260725T121557Z-track-d-parser-v3-locked-set,711de2a55e4809c951910b153d0916bbf04df33c8dc1ce7724a6bf2b3de09592,1805,no,no,table_source
AR-0033,1.2C,20260725T160340Z-track-d1-parser-v3-seal,04_decision.json,decision,repo:artifacts/phase1-evaluator-validation/track-d1/20260725T160340Z-track-d1-parser-v3-seal,a541bd34bd103ff566d30ca79aef383c1fad42c89813f2fb28276c3a1b01c3a8,4522,no,no,primary_result
AR-0034,1.2C,20260725T160340Z-track-d1-parser-v3-seal,06_paper_table.csv,metrics,repo:artifacts/phase1-evaluator-validation/track-d1/20260725T160340Z-track-d1-parser-v3-seal,58d76e653371cc5ce0c4284aa4d98ba70e90dcfa9ffbb95ec0290685e17d85bd,895,no,no,table_source
AR-0035,0.5C,20260725T174743Z,04_decision.json,decision,repo:artifacts/phase05c-jlens-disjoint/track-a1/20260725T174743Z,f47a6f26b51ccaa4aec0ed6f2d54a340f298181f7482aa13f26b26a17cea3742,2859,no,no,primary_result
AR-0036,0.5C,20260725T174743Z,06_paper_table.csv,metrics,repo:artifacts/phase05c-jlens-disjoint/track-a1/20260725T174743Z,a5473dd5bf4850bd2eaad9c1d9dda9a3249454c8c9c7e36a3ff6e9bf19ab8087,3819,no,no,table_source
AR-0037,0.5C,20260725T174743Z,07_figure_data.csv,figure_data,repo:artifacts/phase05c-jlens-disjoint/track-a1/20260725T174743Z,0df3d12128bb12c87b4fbdf65d0bcb7370a3c907c816526bb7238a937333e684,9307,no,no,figure_source
AR-0038,0.5C,20260725T174743Z,artifact_manifest.json,manifest,repo:artifacts/phase05c-jlens-disjoint/track-a1/20260725T174743Z,abe0a6125eaa6ac1e184d7949a25a8ba461487dba97914b83584107e48aeebf2,1515,no,no,provenance
AR-0039,0.5C,20260725T174743Z,jlens_saturation_prompts.jsonl,fit_corpus,repo:data/jlens_saturation_prompts.jsonl,dd5d97498324e8b5153c106f0edbc4d962d47771db7dfa2093b48fc36f5962fa,16087,no,no,public_fixture
AR-0040,0.5C,20260725T174743Z,j-space-jlens image,container_image,acr:acrjspaceobssea0708231738/j-space-observation-jlens,1fdf406fa34d76f228bd8a3570e9564c0a63baadda8e5b3e58f9c0e1b9ad3a37,not_recorded,yes,no,provenance
AR-0041,1.0C,20260725T170041Z,04_decision.json,decision,repo:artifacts/phase1-headroom-calibration/track-b/20260725T170041Z,738e9ea644a5afd5377fd4a0ade16318a8e9da997a5307d0fd80887ead6a71c5,2223,no,no,primary_result
AR-0042,1.0C,20260725T170041Z,06_paper_table.csv,metrics,repo:artifacts/phase1-headroom-calibration/track-b/20260725T170041Z,9a080ce5a12399fc2b48d955de756f01df182d98b2e60cd40ecefd35ad652c57,1309,no,no,table_source
AR-0043,1.0C,20260725T170041Z,07_figure_data.csv,metrics,repo:artifacts/phase1-headroom-calibration/track-b/20260725T170041Z,389da27c51770f8b7608d92152d3c2f7ac1190aad0821d7dbac37bea949fd06e,1127,no,no,figure_source
AR-0044,1.0C,20260725T170041Z,02_records.jsonl,generations,repo:artifacts/phase1-headroom-calibration/track-b/20260725T170041Z,a37097a780c3a1b75c51a141fed91010013972616800cb550a5b885be32b5804,957052,no,no,supporting
AR-0045,1.0C,20260725T170041Z,03_metrics.csv,metrics,repo:artifacts/phase1-headroom-calibration/track-b/20260725T170041Z,9f8a1fba0531c5f9b24a6bcb4b2cdc51c7ae24e67bb0011b0637cb24077afae0,25120,no,no,supporting
AR-0046,1.0C,20260725T170041Z,cell_selection/selected_headroom_cells.csv,cell_selection,repo:artifacts/phase1-headroom-calibration/track-b/20260725T170041Z,766fb9aad690d80f869c4707218bac41a024f38e700f1b95296c36cd40886046,527,no,no,primary_result
